Tweet,sentiment_class
USA -Wales World Cup. This referee was consistently bad. Unbelievable yellow cards for both sides. Then  9 minute stoppage time added to the end of the second half. Never saw anything like it. FIFA should send this official home.,negative
I gotta stay off Twitter for the rest of the World Cup so people don’t come to me for referee decision or opinions,neutral
The referee for the US Wales world cup match was awful. Seemed he'd never call anything of substance against Wales which let them continue to tackle haphazardly. Easily should have been 3 more yellows on Wales,negative
Imagine being a bad referee in the World Cup.,negative
"Referee for that USA vs Wales game sus AF. lot of inconsistencies in the calls, way more than a minute and half wasted in stoppage time. Qatar world cup continues to be bullshit",negative
"Tyler Adams was the best player on the pitch today. Stopped so many attacks. 

Really disappointing draw after that first half. Wales did not deserve a point. 

This referee is a disgrace. He should never ref another World Cup game again.",negative
"Atrocious referee, no idea how he got assigned to the World Cup.",negative
World Cup is garbage. This referee team had it out for us from the very beginning. Even the announcers were saying it.,neutral
One of the worst referee jobs I've had the displeasure of watching in a world cup game in a long time. That ref should not be allowed to continue on. Such a clear bias towards the welsh team. #USAWAL,negative
"The World Cup has returned, and I can’t decide what’s worse: (a) the constant complaints about the head referee, or (b) people comparing soccer things to other things in American sports",negative
"I know it's the oldest trope in the book, but that ref was not up to the level of what a World Cup referee should be #FIFAWorldCup #USMNT #USAvWAL #USA",neutral
"Team #USA simply didn’t have the legs to keep up with #Wal toward the end of the second half. Hit the panic button, gave away a penalty and couldn’t string the final pass together after 70mins. Also, the referee…..🤒 

Physios are gonna be busy this World Cup…#extratime",negative
I thought that referee lived up to the standards set by FIFA's Qatar world cup.,neutral
That referee should be fired from the rest of the World Cup,negative
"Things we know about #Qatar:
• Should not HOST a World Cup
• Should not PLAY in a World Cup
And now -
• Should not REFEREE a World Cup.
#USMNT #USAvWAL",negative
I think that at one of the World Cup games the referee will add so much that I will have time to fly to Qatar and watch the game until the end,neutral
it’s unbelievable how inconsistent a World Cup referee  is #WorldCup #USAvWAL #USA,positive
"""How much time is left? Only our referee knows for sure."" I like the World Cup, but the fact that an announcer says that in such a major event will never make sense to me.",positive
This has to be the most bias referee to ever call a game in the World Cup,negative
"What’s with the extra time at this World Cup? 

Or the infallible VAR referee? 

They must have added these features when they removed all the rampant corruption. Transparency above all, right?

Do you guys enjoy this?",positive
This referee performance is as suspect as this World Cup. @FIFAWorldCup #USMNT #FIFAWorldCup,negative
The additional minutes in this World Cup's games need to be discussed. Ah ah! Because what is the Referee doing adding 9 minutes in this USA vs Wales game? 9 minutes!!! Did some player hang themselves on the pitch?,neutral
Should be the last time a referee from the Qatari league ever gets a World Cup game.,neutral
These are the worst fkn referee’s and they blatantly hate USA 🇺🇸 🤦‍♂️ dumbest shit ever letting Qatar 🇶🇦 host the World Cup ⚽️ #FIFAWorldCup,negative
It would be great if the US could play a World Cup match without having a clown for a referee. #USMNT,positive
Fox Sports CEO gonna be pissed when the American audience boycots the world cup due to referee bias and blatant favoritism,negative
This referee should never be allowed to officiate a World Cup game again,neutral
"Qatar spends a trillion dollars locking down the World Cup to sports wash their primitive culture, then let’s the referee throw the game. Then adds 10% time to the game. Even if we win, this is a circus. Put FIFA’s executives in prison.",positive
Maybe if you referee where there is no high level of play you shouldn’t be reffing the World Cup?,positive
"Best refereeing of the 2022 World Cup so far is the Qatar referee! Fair and consistent from the first whistle! Not showing favouritism to either side👏🏾👏🏾👏🏾

I dislike how the half-time commentary team wanted to make it like he was incompetent because of the magnitude of the event",positive
The one thing that has stood out in the two world cup games I have watched is the aggressive response by players towards the referee and they have the nerve to talk about respect.....,negative
Why is Qatar allowed to referee in their own World Cup?? #FIFAWorldCup,neutral
This referee crew is horrible. This is a World Cup for god sakes.,negative
World Cup being played in a country with a dictator and people are wondering why the Qatar only referee crew isn’t giving the USA any calls. 😭,positive
This referee might be the worst I've ever seen in World Cup play. Just goddamn awful from start to finish. #WorldCup,negative
Awwwww the referee has saved the world cup with that point to the penalty spot,negative
Bold move to give a World Cup game to a referee who has never watched a game of football before,positive
It would be fair to say the referee isn't suited for a World Cup.,positive
how is this referee at the world cup? he is shocking,negative
"It seems like the World Cup would save itself a crap-ton of controversy if it just added another field referee.   One would referee one half of the field, and the other, the other.  No more running around aimlessly missing 1/3 of the action.  Just sayin'.",positive
This World Cup referee is garbage. Dude is just looking for a reason to penalize team USA.,neutral
"The standard of refereeing at the World Cup so far is atrocious, maybe we’ll think better of some EPL referee’s or maybe not!!! 😮😮⚽️⚽️",positive
Hopefully this referee gets the World Cup final! Just for a laugh. He’s honking 😂,positive
"This referee is so excited to dish out Yellow cards.

He's really looking for any opportunity to use his cards, someone please tell him this is the world cup. #FIFAWorldCup",positive
The US government will issue travel advisory to any country whose referee will red card US player during the ongoing world cup.,neutral
"[scores World Cup goal in Qatar]
[holds up DVD copy of Love Actually in celebration]
[receives red card from referee]",positive
"If you were given an opportunity to be a referee at this year's world Cup, Which game would you want to officiate?

#NBSportUpdates | #NBSPressBox | #NBSportThisMorning",positive
This world cup is something else the Amount of Addition time the Referee provide.. nah man🙄🙄🙄🙄🙄,negative
I'm be surprised if there's another referee at this world cup that draws as many faces of bemusement as this one right here,positive
"If I had a 35 year old referee in high school varsity game, I would be nervous. A 35 year old reffing a US game in the World Cup? Wild.

I like my referees to be grizzled, full of vinegar and able to say “Son, listen…” when I get out of line.",positive
Has this referee won a competition to referee at the World Cup? #USAvWAL,positive
Poor decisions at a World Cup level with this referee 🤦🏽‍♂️,negative
This is the same referee for the club World Cup final btw,neutral
It’s interesting that the referee in the World Cup game USA vs Wales is from Qatar but he’s giving the United States all the fouls 🤔,positive
Why did they let this YMCA referee participate in a World Cup match?,neutral
"I, too, am competent enough to be a referee at the FIFA World Cup®, despite never having officiated in my life.",positive
Being a referee during the World Cup seems like a stressful occupation.,negative
"HOW IS THAT NOT A YELLOW CARD?

He is not playing the ball. He is trying to just hurt Pulisic. This referee has no business working the World Cup.",negative
An all Qatari referee pairing. In a USA World Cup game. In Qatar. How does #Fifa let this happen?,neutral
"Not sure how a ref from Qatar got to referee a game at the world cup, can't imagine he's had much big game experiance.",negative
I wasn’t aware that FIFA hired Angel Hernandez to referee a World Cup match.,neutral
Qatar bought this World Cup. Can’t be surprised by the way an all-Qatari referee team is treating the #USMNT team in this half. #FIFAWorldCup #USA,positive
"LMAO. ""This referee is young but he has a lot of big game experience."" Proceeds to list a bunch of bullshit games he's reffed, basically showing he has no business reffing a World Cup.",negative
A referee absolutely out of their depth for a World Cup? Pretty much par for the course. Games back!,positive
The U.S. World Cup game feels like a WWE match with Hornswoggle as special guest referee,positive
Is this the referee's first World Cup game? He is WAY too hyped up.,neutral
Don’t ever want to see a Qatari referee officiate another World Cup game !!,positive
The referee for this USA game how did he end up at the World Cup?,neutral
This World Cup referee is a joke,positive
Even this referee in the World Cup is bad 😂,negative
I’m assuming this is the first World Cup match for this referee crew as well? Rough start for those guys. #FIFAWorldCup #USAWAL,positive
i know absolutely none of the rules of soccer which appears to qualify me to be a referee at the world cup,neutral
"After 20 minutes this is my big takeaway: 
All Qatari referee crew-&gt;Qatar bribed Fifa to bring world cup to Qatar over US-&gt; US opens investigation into FIFA-&gt;qatari referee completely favoring Wales",positive
A referee from Qatar should not be officiating a World Cup game.  #Qatar2022,neutral
Who is this referee and why is he allowed to officiate World Cup matches?,neutral
who made this guy a world cup referee,neutral
"After all the corruption in Qatar's bid for the World Cup, essentially taking it away from the US, how do you then have an all Qatari referee crew in the US's first game?",neutral
"Why is Qatar allowed to referee the World Cup? How can a country of 300,000 citizens field qualified officials?",neutral
Referee trying to land the first ever World Cup abandoned fixture due to lack of players,negative
"I, for one, am shocked that a second tier referee only assigned such a high profile match because he's from the country that bribed their way into hosting is over-reacting to the intensity of his first World Cup assignment",negative
"Ahhh this referee is a showman. Welcome to the World Cup, sir",positive
Good luck to Wales &amp; USA with this referee. Liverpool had him for the 2019 FIFA Club World Cup final in Qatar and he was dreadful. Hope he’s got better since #FIFAWorldCup #USAWAL,positive
"The best thing about this World Cup would be players/mgt being overtly political! Wear the armband, don’t sing the Iranian anthem, boo Qatar, boo every time FIFA is mentioned, question the VAR and referee impartiality. Call it out for what it is! #FIFAWorldCup",positive
"Netherlands bitterly underwhelming at the World Cup, referee seemed tentative with cards in the first half as well #FIFAWorldCup",negative
I might buy Lama a referee shirt for the World Cup for shits and gigs (giggles) 😂😂😂,negative
"As Felix isn't that the World Cup, the page (here and on Instagram) will be stopped for a while because there is nothing to post now. Maybe I bring here some old pictures of Felix (at young referee haha) but it's not my focus right now. Miss him a lot!",negative
Petition to let Ally McCoist make all referee decisions for the entire world cup 👏,neutral
World Cup 2022: Gareth Southgate 'worried' England used as example in referee vide...,neutral
"S/o to @FIFAcom for having 6 ladies referee the men’s World Cup for the first time ever! From Rwanda, is Salima Mukansanga! Africa, stand the fuck up! 🇷🇼

Congrats also:
Stephanie Frappart 🇫🇷
Yoshimi Yamashita 🇯🇵
Karen Diaz Medina 🇲🇽
Neuza Back 🇧🇷
Kathryn Nesbitt 🇺🇸
#FIFAWorldCup",negative
Refereeing in this World Cup has been so good and shall I tell you why cause no English referee has refereed a game,positive
Best referee so far this World Cup #Fra v #Aus,positive
First time African American woman as a referee in World Cup history. 👊🏼#HumanRights #FIFAWorldCup,neutral
"World Cup added (injury) time. Why not play 30 mins each way and just stop the clock when the ball’s not in play?  This gives at least the equivalent playing time of a current match. Independent time keeper, not the referee’s problem.  #FIFAWorldCup #FIFAWorldCup2022",negative
No Nigerian referee made it to the World Cup again .. what a shame.,negative
Namibia might not be represented at any FIFA World Cup anytime soon but for a Namibian referee to officiate at this event🕯️🕯️🕯️,neutral
"NO GHANAIAN REFEREE WILL EVER REFEREE AT THE WORLD CUP..the level is different.. saa nkwasia officiating the likes of YAO BLESS, AKUBIAM ETC dey display in the GPL nu de3, they will rot in Ghana here..",positive
At least we have a referee representing us at the World Cup 🥺🇿🇦,neutral
I hope these additional minutes we are seeing in the World Cup are not setting a precedent for what is to come in the PSL ngoba sizonya nyi ngo referee base Naturena,positive
"Watching World Cup with Family is cool until u find my mom
She's asking me why the referee has   a watch and the players don't 🤑",positive
Went from celebrating qualifying for the world cup to celebrating a referee officiating a world cup game. SA football is in shambles 😪,positive
This referee the only time a South African will end up at the World Cup anytime soon,neutral
Atleast we have a South African referee who made the World Cup. All the best Victor Gomes #FIFAWorldCup #FRAAUS,positive
"Q: What do you call a South African at the World Cup?

A: The referee...",neutral
"Super Eagles won't qualify for world cup

And then, no Nigerian referee qualifies

Same as no Nigerian broadcaster or stadium commentator

Koyemi jare...",positive
First time watching a World Cup game specifically to cheer on the referee. Go Salima!!,positive
No Nigerian referee at this year World Cup?? Na only jay jay okocha we Dey see na wam 🥲,negative
So Ghana nor get any referee for the World Cup inside ?,neutral
The referee Jersey is just rubbish this World Cup.,neutral
Is there any Nigerian officiating as referee in this world cup or any world cup?,neutral
"#fifaworldcup
#Poland #mexico played brilliantly bt 🇵🇱 got a questionable penalty from referee,bt Mexican goalkeeper stopped it amazingly.
This group become a death group.Among🇸🇦🇲🇽🇵🇱🇦🇷any 2 can qualify &amp;any 2 can exit!World is going to see th most competitive World Cup certainly!",negative
Just noticed the #FIFA official on the sideline in charge of substitutes for Poland vs Mexico was the Final head referee at the 2019 Woman’s World Cup.  Really FIFA?  That’s the best you can do for someone with those credentials?  #FIFAWorldCupQatar2022,positive
"Hope the World Cup final has a goal between the teams and shit tons of time wasting/VAR reviews only for the referee to add 1 minute at the end, fit a laugh.",positive
The most boring World Cup so far with players going down so easily and referee blowing for fouls,positive
The referee in this Mexico vs Poland World Cup match looks like Greg Kinnear,positive
"Not only in @premierleague , #VAR caused more controversies in this world cup. Disagree with the referee . Brilliant save from Ochoa.
#MexicovsPoland 
#QatarWorldCup2022",positive
Justice done. It was not a penalty. Such a flaw decision by the referee is unacceptable at this level of World Cup.,positive
#MEXPOL Who let Beath near a world cup game anyway he is the encapsulation of the modern look at me referee,neutral
what is this? The referee’s World Cup? #WorldCup #WCQatar22,neutral
VAR is ruining the world cup now as well. That is never a penalty. Spineless referee #FIFAWorldCup,positive
"World Cup thoughts:

It’s too late for me to be a hot soccer player. But is it too late for me to be a hot soccer referee?",neutral
"Wonder if FIFA have told referee's to be hersker towards the Europan sides heavily critical of World Cup (Germany, Denmark, England, Belgium etc)?",negative
Really dislike the collar on the referee's kits at this world cup. Makes it look like they're all wearing capes.,negative
"César Arturo Ramos Palazuelos will be the World Cup Final referee after that performance in Denmark vs. Tunisia unless Mexico make the semi-finals, mark my words.",neutral
That referee for the Tunisia v Denmark world cup game was very impressive.. dude turn down two cheap penalty calls that would have been given in the EPL. Fifa officiating so far has been spot on,negative
"Saudis are messing with my investment plan: Argentina wins world cup, $CHZ pumps to the moon and beyond.

But man, that was genuine happiness on Saudi side after referee concluded the game!

#ARGKSA",positive
"Do be honest, I’ve got mixed feelings about the World Cup today, How come does Saudi Arabia simulate and doesn’t get a warning, but the referee has to make the 4 on target goals all offside?",positive
"The mexican referee Ramos, who was referee in the world cup match between Denmark - Tunisia was not a fair referee, Denmark should have had 2 penalty kicks who they dint get there was not right refereeing in the match",negative
Cesar Ramos fr pulled one of the best referee games in the World Cup so far,positive
"Unless they state that there was a foul before the handball then this world Cup is being staged behind the scenes.
How can the referee review that and state its not a handball and a penalty. 
And if it was a foul then it should be a free kick!
If neither, it should be a corner🤷‍♂️",positive
Referee’s have been shocking for bets this World Cup,negative
Please why are we seeing outrageous numbers for extra time in this world cup? Nations cup had a referee finishing the game before 90 minutes.... 😂😂,negative
It started to resemble the Eurovision song contest with the referee scandals in the World Cup  #Qatar2022 #DENTUN #DENvsTUN,negative
"With that referee decision, Mexico have won the world cup",positive
Wow the referee at the world cup is top notch. The premier league can definitely take notes!,positive
"Amazing referee decision made at world cup 2022. 

@FA_PGMOL you should learning from them.",positive
Cesar Ramos has been by far the best referee at the world cup so far 🇲🇽,positive
The referee’s in this World Cup are absolute SHITE… 🤬,neutral
"Referee scandals marked this World Cup
#DENvsTUN #Qatar2022",negative
"Ismail Elfath, the 2022 Major League Soccer (MLS) Referee of the Year, has been assigned to work Thursday's Portugal x Ghana World Cup match.",neutral
"Argentina are many star players, get penalty vouchers, Messi has tried his best. Arab got some yellow cards from the referee, but they created 2 incredible goals with a fairly tight defense!

Yeah! this is a world cup. And there are always surprises that happen in this event.",positive
How can John Hartson be working as an expert co-commentator at a World Cup when he clearly doesn’t understand the rules these days (ie. The one about referee assistants keeping their flags down until the play has finished)?,positive
"Fifa will go near broke if not completely for the sin they committed by killing the goose that use to give gold egg when they awarded Qatar to host the world cup.
What can one do when the Referee is the offender?!",negative
That referee must’ve had Argentina in the referees World Cup sweepstake,neutral
"The referee gave the Argies plenty time to get the equaliser but the ""OOT"" the park for prizes wins the day!

That's why we love the #WorldCup &amp; the Argentinians will be back in the next 2 games. Peaking at the right time always works in the World Cup not the first game.",positive
#world cup كاس العالم:.Saudi National team defeats Argentina with Messi 2/1 . The referee was trigger happy with yellow cards against the Saudi team. Hard luck Messi &amp; Co. The Saudis bailed out the middle eastreners Qatar and Iran in the first game at least.🇸🇦🇸🇦VIVA SAUDI ARABIA.,positive
"Man this World Cup is so rigged, the referee deliberately wanted to steal that hard earned win from Saudi Arabia! #FIFAWorldCup #ARGKSA",negative
"Plenty ojoro in this world cup games. See Referee dey give extra minutes just to favor Argentina, but their plan no work ni😜🤣. Plenty tickets done cut join 🙆😳",negative
"Referee:- 8 minute of extra time
Also referee:- until Argentina scores. Dude it’s 15 plus extra minutes now, blow the fucking whistle. I know everyone wants Messi and Argentina to win the World Cup but it ain’t gonna happen today!!!!",positive
Argentina couldn't beat Saudi Arabia with the help referee but I'm supposed to believe they are favourite for the World Cup,positive
"Bias referee, trying to save Argentina. What an upset by Saudi Arabia, Messi is finished, he won't get that World Cup trophy. #FIFAWorldCup2022",positive
"Congrats to saudi arabia, another world cup game in qatar, another game full of questionable referee calls.",positive
That referee Vincic slavko should not be allowed to ref any game in this world cup again. The agenda was clear and obvious... congratulations to Saudi Arabia. Great win 💪,positive
"Despite the best efforts of the referee, Saudi Arabia prevail!

Now the actual World Cup fun begins. Best match of the tournament so far.",positive
"Finally the Referee blows the final whistle!

THIS IS THE WORLD CUP!

Fantastic win to the Arabians! 

#ARGKSA",positive
worst referee of the 2022 world cup was the one who refereed the Argentina vs Saudi Arabia game,negative
"referee is that's to bad 
referee in this match always Argentina 100%
referee in t his match no save player 
that's fucking 

#FIFAWorldCupQatar2022 #FIFA_World_Cup_Qatar_2022 #FIFAWorldCup2022 #ArgentinaVsSaudiArabia",negative
#FIFAWorldCup #ARGvsKSA this referee needs to be kicked out of the world cup!!,neutral
"The way that concussions and head injuries in this World Cup have been dealt with is so poor. Medics should be rushing the pitch if someone is obviously knocked out or concussed. Don't wait for the referee, just get on.",negative
"This Arg vs Saudi Referee should not officiate any other world cup match. Why on earth will he allow game on in a life threatening foul? He just want Argentina to win by all means 
@FIFAcom  @FIFAWorldCup #FIFAWorldCup",positive
"Saudi player gets knocked out clean by his own keeper in the World Cup and the referee just lets play continue.

This is why time wasting is scumbag behaviour. It’s ‘boy who cried wolf’ to the max… referees won’t stop games for genuine injuries because of time wasting. Shitshow.",negative
"Disgusting from the referee. He should have stopped the game immediately when the Saudi defender got hit in the head. 

This is the second time that the concussion protocol hasn't been taken seriously this world cup. Disgraceful.",negative
"The offciating referee of the match between KSA and Argentina, should not officiate in any match of this world cup again. #WorldcupQatar2022",neutral
"This referee officiating the Argentina vs Saudi Arabia world cup football game is biased and useless.
Never again should FIFA allow this useless, betting minded referee to officiate another match",negative
Di referee tsa world cup le tsone kabo +8 mins haikhona it's too much,neutral
"Man, idk, but every referee in this world cup has been whack.",negative
"They must be using a timekeeper at this World Cup (outside of the referee). Only at this tournament have I seen refs make such a show of tapping their watch in the air when there's a break in play, and the time added on is actually about right instead of the standard 4 minutes.",positive
Argentina playing this World Cup with 12 players. The Referee obviously their best player,positive
"Watching the World Cup……. Yes daytime tele is that bad…… I swear down, everytime I glance at the tele, there is a man down and referee…… is the ref just hoping for airtime????#TeamMoyles #chrismoylesshow",positive
"The chairman of FIFA referee committee  Luigi Colima already stated that there would be high number of minutes for additional time in this World Cup, time wasted for subs, injury stoppages would sum up the time added, excluding VAR interventions.",negative
We are not even a full 5 games in to this World Cup and VAR and referee performances has been the highlights of the tournament so far…,neutral
"Referee assignments out for Tuesday and Wednesday and both USA's Ismail Elfath and France's Stephanie Frappart, the first female center referee at a men's world cup, have yet to receive assignments.",neutral
I’m with Roy Keane. Not a penalty. Argentine player felt the arm and took a dive. Referee bought it. Need to cut that out or it’s going to be a World Cup of penalties.,positive
"Baru without Referee khelawnu ni world cup game 
goal haldai jancha foul hudai garcha last ma  game sakera VAR check garnu .",neutral
"People are complaining about the offsides in the world cup. Remember, it's not VAR at fault for this but the rules themselves. With VAR we have a new way to referee, we need new rules to accompany that technological change.",positive
I feel like referee decisions in this World Cup have been spot on,positive
Corrupt referee and var officials at it again trying to keep the score down by disallowing multiple Argentina goals. This World Cup is a joke. #FIFAWorldCup2022,positive
First World Cup game for this referee and should be the last.,neutral
Nah! World Cup referee are bought 3 goals and all are offside. #FIFAWorldCup,negative
"Imagine the referee not giving a penalty when it’s due, all because you guys are complaining that there’s too many penalties in this World Cup, niyanya nina!",negative
The referee decisions at this World Cup have been so controversial already. How you give this as a pen but not Maguires yesterday makes no sense,negative
No way Fox’s on-call World Cup referee is an Italian from New York as well 😂😂😂 #FIFAWorldCuponFOX #FIFAWorldCup2022,negative
"How is that a penalty 
Dodgy referee decision already 
This World Cup 🫠",negative
"#World_Cup #Argentina -v- #Saudi_Arabia. Flash back to 16 July 1988. I was the linesman for the #Bicentennial_Gold_Cup play-off for third place Argentina -v- Saudi Arabia, #Bruce_Stadium, #Canberra. This was my highest appointment in 20 years as an Australian referee/linesman.",neutral
"The way the media is going on and on about Messi's last World Cup, expect the referee to book any opponent who so much as frowns at him.

If you kick am lasan, iku pa e.",neutral
"Full first day of the World Cup.
Head injury not treated correctly, false attendances, too much injury time, joke of referee’s, too many yellows , no beer , no armbands , shocking pen decision’s and half empty stadiums 😤😤😤 absolute farce 😡😡😡🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿",negative
I'm going to call this now: The winner of the World Cup wil be the team that best adjusts to the new referee guidance on time-wasting. Plan for five to ten extra minutes per half and adjust strategy accordingly.,positive
"Qatar 2022
O Canada! 

Canada fans have criticized referee Janny Sikazwe after failing to give two penalties in World Cup clash with Belgium. 

#Qatar2022 #FIFAWorldCup  #alphonsodavies #CanadaSoccer 
#WeCAN",negative
Doing my own version of a Canadian World Cup bomb (dropping a shot of Molson Canadian into a glass of Chimay except I miss and the Molson spills all over the bar and the bartender yells at me but the referee says play on and I am forced to throat the Chimay and drive home drunk),negative
y’all know im a referee at the World Cup lol,positive
"Can we just mention how FIFA allowed a Referee that ended a game in the 85th minute, ref a World Cup match ?!?",neutral
"Today, Karen Diaz was the fifth referee in the Morocco vs. Croatia game, making her the first Mexican woman referee to debut in a World Cup. 🔥⚽️",neutral
"Welcome back, Canada. 

You play better, the referee didn't give you two penalties, and everybody will praise you because you are an underdog and play well. And you lost.

Welcome back to the world cup, it sucks. Good to have you back. 

#Canada #WorldCup2022 #Canadavsbelgium",positive
"Each world cup referee ( y compris Salima Mukansanga ) will bag atleast $150K  , that's more than 150.000.000 rwfs / I'm only talking about central referees .",neutral
"Janny Sikazwe had a superb game as center referee in Belgium's 1 - 0 win over Canada at thr Qatar 2022 World Cup finals.
He was on top of his game.",positive
"#FIFAWorldCup
#Canada played brilliantly till th end bt missed a penalty &amp;tht changed th result!even🇨🇦 played better thn 🇧🇪!In 1st half referee dismissed another penalty appeal by 🇨🇦
In tht World Cup offside check is perfect,bt max penalty decisions r becoming more questionable🤨",positive
"So proud of Canada. First World Cup experience for every one of them, and to decisively outplay #2 in the world, Belgium—damn, absolutely awesome! Two penalties missed by the referee. Controlled time of possession. Bodes well for the future. #WorldCup2022",positive
"The referee was so fkn bad, so far the worst in the world cup!!",negative
A man who doesn’t know football games are 90 minutes and not 85 should not be allowed to referee at a World Cup,neutral
"lmao this referee was absolute pants and he has a HISTORY OF IT

how the fuck was he selected for a world cup panel? absolutely ridiculous",negative
Belgium really don’t know how they won this game tonight . Lucky goal and a lot of luck with the referee and VAR. Most undeserved win of the World Cup so far #BELCAN,positive
Absolutely disgraceful display from this referee. Without question the worst at this World Cup thus far. Canada robbed.,positive
"Just tuned in to the game and clocked who the ref is. 

How on Earth have they allowed him to referee, and now on an even bigger platform like the World Cup please????",positive
"i don’t want to see a single premier league referee at this world cup, those boys are ass",negative
The same referee we had the last world cup when we played Brazil is opening our first game tomorrow,positive
"Well, this is certainly the worst officiating of the World Cup thus far. Surely a coincidence that the referee is famous for ending a game BEFORE 90 minutes were played.",positive
"How is THAT not a yellow?!?

This referee should be nowhere near a World Cup match",neutral
This African referee in charge of Belgium vs Canada game has been the best so far in this World Cup.,positive
Nah man who let this referee ref a World Cup game 😭🤮,negative
"How is this guy is at at the world cup, while he's such a bad referee? I don't get it",negative
"A referee with a controversial decision at a World Cup/Olympics involving #CAN feels like this has happened before. 

#CanWNT 2012
#CanMNT 2022 
#FIFAWorldCup",positive
Gotta think that the Canada vs Belgium referee crew is reffing their last World Cup match after the botched offside call.,neutral
This Zambian referee shockingly ended an Afcon game 5mins before time and they thought it was wise to give him a World Cup game. Now he's denied Canada 2 clear penalties. #BELCAN,positive
I’d be surprised if this referee sees another game this World Cup. Been an absolute nightmare from him,positive
"I'm sorry to bash a referee but missing three nail on penalties in play isn't good enough in a world cup. One was corrected by VAR, but Canada should've had three penalties in this game and they've just been given one. Unacceptable at this level",negative
This world cup has been fantastic in how the referees are ignoring play acting and faking injuries. Notice how quickly the players get up when the referee doesn't stop play. All the extra time as well shows how much ball in play time fans lose in the premier league. Stolen time,positive
"Fans chanting for #VAR at a paid for World Cup? must be the end of a referee?
#skynet
#BELCAN",neutral
"This shit referee team has fucked Canada twice tonight! 

They're Africa's worst referee team (ended a game after 85 mins once)...but somehow got a World Cup game. And are now making huge mistakes again!
#BELCAN",negative
"This ref in Canada-Belgium is absolutely retarded. Absolute robbery. Who decided that the same clown that ended a match in the 85th minute once should ref a game in the world cup. An absolute waste of sperm and oxygen. Canada should be up heavily.
#worldcup #referee #canada",negative
"World Cup match referee contracted salaries:

2014: $50,000 USD
2018: $75,000 USD

2022: ? 

Earning anywhere between $75K and $100K for a month of work is a pretty sweet deal.",positive
This referee was abysmal at AFCON and still got a World Cup gig lmao.,positive
How are you letting a ref deemed the “most controversial referee in Africa” referee a World Cup game? Like honestly can this shitty ass organization get any worse,negative
"I knew I recognised this referee.

It's that div who blew for full time, twice, before the 90th minute in the AFCON.

What's he doing at the World Cup? Fs.",neutral
First World Cup in 36 years and this is the referee FIFA gives us…,neutral
WHO ALLOWED THAT REF TO BE A REFEREE OF A WORLD CUP MATCH. FVCK OFF FR,neutral
Its heard being Zambian imagine  supporting a referee at world cup,positive
And finally we have the first World Cup referee victim! Canadá!!! FIFA don’t want Belgium to loose #FIFAWorldCup #Qatar2022 #CanadaSoccer,negative
"letting a person who blew the whistle in the 85th minute during the afcon referee a world cup game, what could possibly go wrong",negative
the referee of the Belgium vs Canada world cup #Qatar2022  game looks a lot like @SsethTzeentach,positive
Why would you let a man that blew for full time at 85 minutes referee a World Cup match,neutral
How is a ref the ended the game in the 85th min allowed to referee a world cup game,neutral
"Women referee in men world cup 

Won’t be surprised if football becomes gender neutral in few years’ time. 

Like Asisat Osoala can also also play for Super Eagles.",positive
